FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120220-105802\,20120220-105802-001.nev,2012220,44,2.28830275760358,2.35510841282324
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120220-135231\,20120220-135231-001.nev,2012220,74,2.3642156492768,2.3642156492768
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120221-110809\,20120221-110809-001.nev,2012221,83,2.47298330088934,2.47298330088934
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120221-131838\,20120221-131838-001.nev,2012221,78,2.37429029099308,2.38604044387387
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120222-105447\,20120222-105447-001.nev,2012222,79,2.25834108589968,2.28847779998363
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120222-131228\,20120222-131228-001.nev,2012222,78,2.18123032423082,2.24156868850922
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120222-131424\,20120222-131424-001.nev,2012222,80,2.23276767674232,2.26035667030788
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120227-110533\,20120227-110533-001.nev,2012227,78,2.49967076357504,2.49967076357504
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120227-133036\,20120227-133036-001.nev,2012227,78,2.5237813847791,2.5237813847791
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120228-114728\,20120228-114728-001.nev,2012228,72,2.64743520987709,2.6674266536619
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120302-111722\,20120302-111722-001.nev,201232,54,3.1072508940764,3.1072508940764
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120302-140010\,20120302-140010-001.nev,201232,48,3.00029629572708,3.00029629572709
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120305-110255\,20120305-110255-001.nev,201235,60,3.17009390026405,3.17009390026405
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120305-133433\,20120305-133433-001.nev,201235,51,3.15252983654028,3.15252983654028
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120306-105151\,20120306-105151-001.nev,201236,60,3.1649257581438,3.16492575814379
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120306-131954\,20120306-131954-001.nev,201236,46,3.14205962536854,3.14205962536854
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120309-104803\,20120309-104803-001.nev,201239,58,3.27450403053088,3.27450403053088
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120309-110101\,20120309-110101-001.nev,201239,42,3.63093572354384,3.63093572354384
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120309-134218\,20120309-134218-001.nev,201239,32,3.6974428548849,3.6974428548849
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120309-134408\,20120309-134408-001.nev,201239,32,3.70159987109191,3.70159987109191
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120312-105537\,20120312-105537-001.nev,2012312,60,3.73076499247414,3.73076499247414
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120312-132413\,20120312-132413-001.nev,2012312,47,3.86302217428987,3.86302217428987
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120313-105746\,20120313-105746-001.nev,2012313,73,3.18575960102423,3.18575960102423
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120313-133604\,20120313-133604-001.nev,2012313,71,3.13641520772919,3.1364152077292
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120316-105139\,20120316-105139-001.nev,2012316,57,3.37369213613919,3.37369213613919
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120316-105227\,20120316-105227-001.nev,2012316,71,3.23168364679889,3.23168364679889
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120316-133940\,20120316-133940-001.nev,2012316,69,3.22864608724747,3.22864608724747
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120319-105509\,20120319-105509-001.nev,2012319,65,3.06588653493484,3.06588653493484
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120319-130401\,20120319-130401-001.nev,2012319,61,3.26699498763489,3.26699498763489
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120320-105626\,20120320-105626-001.nev,2012320,62,3.36050318489581,3.36050318489581
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120320-105739\,20120320-105739-001.nev,2012320,63,3.31217855496409,3.31217855496409
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120320-130925\,20120320-130925-001.nev,2012320,68,2.9995187322073,2.9995187322073
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120323-094513\,20120323-094513-001.nev,2012323,62,3.79265014983934,3.79265014983934
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120326-110338\,20120326-110338-001.nev,2012326,69,3.26453548754903,3.26453548754903
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120326-132201\,20120326-132201-001.nev,2012326,69,3.41750655165481,3.41750655165481
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120327-105542\,20120327-105542-001.nev,2012327,69,3.59390262724843,3.6299008793005
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120405-102841\,20120405-102841-001.nev,201245,68,3.91402560618387,3.91402560618388
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120409-110949\,20120409-110949-001.nev,201249,70,3.54369353891675,3.54369353891675
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120409-134705\,20120409-134705-001.nev,201249,69,3.4060803782747,3.4060803782747
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120410-111031\,20120410-111031-001.nev,2012410,71,3.60281727337735,3.60281727337735
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120410-141646\,20120410-141646-001.nev,2012410,73,3.52505060785429,3.52505060785429
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120413-101148\,20120413-101148-001.nev,2012413,75,3.69803473111169,3.69803473111169
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120416-101903\,20120416-101903-001.nev,2012416,69,3.53483654296561,3.53483654296561
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120416-122731\,20120416-122731-001.nev,2012416,66,3.50153437921607,3.50153437921607
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120417-111445\,20120417-111445-001.nev,2012417,73,3.23522169575914,3.2593755549321
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120417-135130\,20120417-135130-001.nev,2012417,75,3.25423871514018,3.25423871514018
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120420-095955\,20120420-095955-001.nev,2012420,73,3.60529404751313,3.60529404751313
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120424-110708\,20120424-110708-001.nev,2012424,72,3.47537348134658,3.47537348134658
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120424-134705\,20120424-134705-001.nev,2012424,72,3.35375443831576,3.35375443831576
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120425-100439\,20120425-100439-001.nev,2012425,77,2.96364477324295,2.96364477324295
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120427-094553\,20120427-094553-001.nev,2012427,76,3.26106671454469,3.26106671454469
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120430-101909\,20120430-101909-001.nev,2012430,77,3.31512478446055,3.33909788965036
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120501-103746\,20120501-103746-001.nev,201251,74,3.42365679448958,3.42365679448958
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120504-100228\,20120504-100228-001.nev,201254,70,3.71158826197241,3.71158826197241
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120507-100236\,20120507-100236-001.nev,201257,76,3.74186516598097,3.74186516598097
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120507-124852\,20120507-124852-001.nev,201257,78,3.57565650818503,3.57565650818503
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120508-105609\,20120508-105609-001.nev,201258,78,3.33242713414278,3.33242713414278
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120508-142327\,20120508-142327-001.nev,201258,78,3.16052564924367,3.16052564924367
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120514-101659\,20120514-101659-001.nev,2012514,71,3.55019418389687,3.55019418389687
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120515-110733\,20120515-110733-001.nev,2012515,77,3.89762837027997,3.89762837027996
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120518-101833\,20120518-101833-001.nev,2012518,77,3.93787296576738,3.93787296576738
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120521-095239\,20120521-095239-001.nev,2012521,75,3.90245032001415,3.90245032001415
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120521-123711\,20120521-123711-001.nev,2012521,72,3.69666295543922,3.69666295543922
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120523-101232\,20120523-101232-001.nev,2012523,70,3.72013036139295,3.72013036139295
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120525-094919\,20120525-094919-001.nev,2012525,72,4.01723261605767,4.01723261605767
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120529-110523\,20120529-110523-001.nev,2012529,58,4.00588864762645,4.00588864762645
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120601-100334\,20120601-100334-001.nev,201261,65,3.8856935082478,3.8856935082478
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120604-095300\,20120604-095300-001.nev,201264,66,4.11728784485821,4.11728784485821
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120605-110526\,20120605-110526-001.nev,201265,72,3.78042740615971,3.78042740615971
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120608-095614\,20120608-095614-001.nev,201268,70,4.00133671550401,4.00133671550401
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120611-095332\,20120611-095332-001.nev,2012611,69,3.38250378654141,3.38250378654141
R:\data_raw\human\rp3_bmi\BMI01\BlackrockData\PedP\20120612-105320\,20120612-105320-001.nev,2012612,73,3.34815586263368,3.34815586263368
