FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150818-114805\,20150818-114805-001.nev,2015818,23,1.64401551832104,1.5884867807443
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150820-115155\,20150820-115155-001.nev,2015820,25,1.9185146256796,1.93662876272567
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150824-120326\,20150824-120326-001.nev,2015824,25,1.95245890712636,1.76164350125085
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-115407\,20150825-115407-001.nev,2015825,25,1.84286499825511,1.79838483863253
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-115713\,20150825-115713-001.nev,2015825,25,1.71348290389428,1.52960322088612
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-115821\,20150825-115821-001.nev,2015825,15,1.41233308990888,1.01907498449678
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-115946\,20150825-115946-001.nev,2015825,15,1.25816688968855,1.11261224926397
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-120058\,20150825-120058-001.nev,2015825,21,1.47731449685618,1.47688455614809
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150825-120451\,20150825-120451-001.nev,2015825,18,1.38269981323056,1.17329915604634
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150827-120304\,20150827-120304-001.nev,2015827,27,2.0826748120751,1.95917681081303
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150831-121232\,20150831-121232-001.nev,2015831,25,1.89222953478401,1.57956902997353
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150908-105114\,20150908-105114-001.nev,201598,23,1.72541777402395,1.80602316650574
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150908-105313\,20150908-105313-001.nev,201598,24,1.76446020061611,1.69710973918417
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150909-164801\,20150909-164801-001.nev,201599,27,2.00690051182834,1.78785996671597
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150914-114342\,20150914-114342-001.nev,2015914,27,2.05573902441935,1.92564655173539
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150921-115504\,20150921-115504-001.nev,2015921,26,1.95199598822322,1.7777312246649
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20150928-115900\,20150928-115900-001.nev,2015928,25,1.85820270410956,1.75362094802351
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151001-120918\,20151001-120918-001.nev,2015101,28,2.12223906751754,2.06512327582155
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151005-115818\,20151005-115818-001.nev,2015105,27,1.99254443741308,1.93393430565767
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151008-115648\,20151008-115648-001.nev,2015108,26,1.91559854554656,1.85477013699661
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151012-120825\,20151012-120825-001.nev,20151012,27,2.07685782609145,2.16992889594728
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151014-103549\,20151014-103549-001.nev,20151014,28,1.97802332741018,1.96975195630126
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151015-120311\,20151015-120311-001.nev,20151015,30,2.21006266443105,2.26841048566511
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151022-120956\,20151022-120956-001.nev,20151022,29,2.18606298700499,2.1625754951986
R:\data_raw\human\crs_array\CRS02b\BlackrockData\BaselineP\20151026-120332\,20151026-120332-001.nev,20151026,29,2.16772215240777,2.25379808500112
