FilePath,FileName,NEVdate,NumGoodChannels,SNRallchannels,SNRgoodchannels
\\prfs.cri.uchicago.edu\nicho-lab\Data\all_raw_datafiles_5\Jaco\20121031\PMv\,J121031_PMv001.nev,121031,69,3.17792657623565,3.17792657623565
\\prfs.cri.uchicago.edu\nicho-lab\Data\all_raw_datafiles_5\Jaco\20121112\PMv\,J121112_PMv001.nev,121112,92,2.35503395645189,2.35503395645189
\\prfs.cri.uchicago.edu\nicho-lab\Data\all_raw_datafiles_6\Jaco\Misc\20121129\,J20121129PMv001.nev,121129,64,1.94315947522346,2.07701443259419
\\prfs.cri.uchicago.edu\nicho-lab\Data\all_raw_datafiles_6\Jaco\Misc\Jaco\20121129\,J20121129PMv001.nev,121129,64,1.94315947522346,2.07701443259419
\\prfs.cri.uchicago.edu\nicho-lab\Data\all_raw_datafiles_5\Jaco\20121130\PMv\,J20121130PMv001.nev,121130,64,1.8918085552718,2.14833863660247
